m=1000 n=1000 k=100
QL AOCL: 1.5418052673339844e-02
QL Reference: 1.5116930007934570e-02
QL New: 1.5125989913940430e-02
RQ AOCL: 1.6505002975463867e-02
RQ Reference: 1.6365051269531250e-02
RQ New: 1.6487121582031250e-02
LQ AOCL: 1.5309095382690430e-02
LQ Reference: 1.0213851928710938e-02
LQ New: 9.9151134490966797e-03
Double Precision
QR AOCL: 2.8743982315063477e-02
QR Reference: 2.8058052062988281e-02
QR New: 2.8053045272827148e-02
QL AOCL: 2.5264024734497070e-02
QL Reference: 2.4861097335815430e-02
QL New: 9.0680122375488281e-03
RQ AOCL: 2.6040077209472656e-02
RQ Reference: 2.6016950607299805e-02
RQ New: 2.5991916656494141e-02
LQ AOCL: 2.7963876724243164e-02
LQ Reference: 1.5956163406372070e-02
LQ New: 1.5647172927856445e-02
Single Complex Precision
QR AOCL: 3.5298109054565430e-02
QR Reference: 3.4455060958862305e-02
QR New: 3.4456014633178711e-02
QL AOCL: 2.7840852737426758e-02
QL Reference: 2.7770042419433594e-02
QL New: 2.7737855911254883e-02
RQ AOCL: 3.0297040939331055e-02
RQ Reference: 3.0251026153564453e-02
RQ New: 3.0262947082519531e-02
LQ AOCL: 3.3122062683105469e-02
LQ Reference: 3.3012866973876953e-02
LQ New: 3.3052921295166016e-02
Double Complex Precision
QR AOCL: 7.1144104003906250e-02
QR Reference: 7.0157051086425781e-02
QR New: 7.0708990097045898e-02
QL AOCL: 7.8666925430297852e-02
QL Reference: 8.1630945205688477e-02
QL New: 7.8392028808593750e-02
RQ AOCL: 1.3017201423645020e-01
RQ Reference: 8.4989786148071289e-02
RQ New: 8.5139036178588867e-02
LQ AOCL: 7.8485012054443359e-02
LQ Reference: 7.7970981597900391e-02
LQ New: 7.7270030975341797e-02
Single Precision
QR AOCL: 1.5172958374023438e-02
QR Reference: 1.4628887176513672e-02
QR New: 1.4635086059570312e-02
QL AOCL: 1.5167951583862305e-02
QL Reference: 1.4929056167602539e-02
QL New: 1.4966964721679688e-02
RQ AOCL: 1.6285181045532227e-02
RQ Reference: 1.6052007675170898e-02
RQ New: 1.5996932983398438e-02
LQ AOCL: 1.5004158020019531e-02
LQ Reference: 9.9349021911621094e-03
LQ New: 9.6321105957031250e-03
Double Precision
QR AOCL: 2.8692960739135742e-02
QR Reference: 2.7934074401855469e-02
QR New: 2.7950048446655273e-02
QL AOCL: 2.4816989898681641e-02
QL Reference: 2.4787902832031250e-02
QL New: 9.3050003051757812e-03
RQ AOCL: 2.5923013687133789e-02
RQ Reference: 2.5834083557128906e-02
RQ New: 2.5850057601928711e-02
LQ AOCL: 2.7771949768066406e-02
LQ Reference: 1.4568090438842773e-02
LQ New: 1.4405965805053711e-02
Single Complex Precision
QR AOCL: 3.5032987594604492e-02
QR Reference: 3.4450054168701172e-02
QR New: 3.4433841705322266e-02
QL AOCL: 2.7881145477294922e-02
QL Reference: 2.7693986892700195e-02
QL New: 2.7676820755004883e-02
RQ AOCL: 3.0250072479248047e-02
RQ Reference: 3.0284881591796875e-02
RQ New: 3.0189990997314453e-02
LQ AOCL: 3.3139944076538086e-02
LQ Reference: 3.3069133758544922e-02
LQ New: 3.3062219619750977e-02
Double Complex Precision
QR AOCL: 7.5127124786376953e-02
QR Reference: 7.3646068572998047e-02
QR New: 7.3666095733642578e-02
QL AOCL: 8.3499193191528320e-02
QL Reference: 8.3715915679931641e-02
QL New: 8.3775997161865234e-02
RQ AOCL: 9.0830802917480469e-02
RQ Reference: 9.0806961059570312e-02
RQ New: 9.0506076812744141e-02
LQ AOCL: 8.1120014190673828e-02
LQ Reference: 8.0908060073852539e-02
LQ New: 8.0729007720947266e-02
Single Precision
QR AOCL: 1.5710115432739258e-02
QR Reference: 1.4780998229980469e-02
QR New: 1.4786958694458008e-02
QL AOCL: 1.5366077423095703e-02
QL Reference: 1.5077114105224609e-02
QL New: 1.5078783035278320e-02
RQ AOCL: 1.6303062438964844e-02
RQ Reference: 1.6079902648925781e-02
RQ New: 1.6065120697021484e-02
LQ AOCL: 1.5119791030883789e-02
LQ Reference: 1.0062932968139648e-02
LQ New: 9.6268653869628906e-03
Double Precision
QR AOCL: 2.8625011444091797e-02
QR Reference: 2.7979850769042969e-02
QR New: 2.7991056442260742e-02
QL AOCL: 2.5049924850463867e-02
QL Reference: 2.4837017059326172e-02
QL New: 9.0360641479492188e-03
RQ AOCL: 2.6003122329711914e-02
RQ Reference: 2.5846004486083984e-02
RQ New: 2.5928974151611328e-02
LQ AOCL: 2.7825117111206055e-02
LQ Reference: 1.4579057693481445e-02
LQ New: 1.4400959014892578e-02
Single Complex Precision
QR AOCL: 3.4955024719238281e-02
QR Reference: 3.4451007843017578e-02
QR New: 3.4428119659423828e-02
QL AOCL: 2.7831792831420898e-02
QL Reference: 2.7683019638061523e-02
QL New: 2.7680873870849609e-02
RQ AOCL: 3.0314922332763672e-02
RQ Reference: 3.0297040939331055e-02
RQ New: 3.0283927917480469e-02
LQ AOCL: 3.3188819885253906e-02
LQ Reference: 3.3005952835083008e-02
LQ New: 3.3007144927978516e-02
Double Complex Precision
QR AOCL: 7.1990966796875000e-02
QR Reference: 7.0961952209472656e-02
QR New: 7.0626974105834961e-02
QL AOCL: 8.1518173217773438e-02
QL Reference: 8.2606077194213867e-02
QL New: 8.4315776824951172e-02
RQ AOCL: 8.8186025619506836e-02
RQ Reference: 8.8168859481811523e-02
RQ New: 8.7947845458984375e-02
LQ AOCL: 7.7636957168579102e-02
LQ Reference: 7.8274965286254883e-02
LQ New: 7.7860832214355469e-02
Single Precision
QR AOCL: 1.5524864196777344e-02
QR Reference: 1.4698982238769531e-02
QR New: 1.4723062515258789e-02
QL AOCL: 1.5243053436279297e-02
QL Reference: 1.4967918395996094e-02
QL New: 1.4951944351196289e-02
RQ AOCL: 1.6161918640136719e-02
RQ Reference: 1.5940904617309570e-02
RQ New: 1.6036987304687500e-02
LQ AOCL: 1.5106916427612305e-02
LQ Reference: 9.9680423736572266e-03
LQ New: 9.6530914306640625e-03
Double Precision
QR AOCL: 2.8590917587280273e-02
QR Reference: 2.7945041656494141e-02
QR New: 2.7953147888183594e-02
QL AOCL: 2.5012969970703125e-02
QL Reference: 2.4793148040771484e-02
QL New: 9.0348720550537109e-03
RQ AOCL: 2.6114940643310547e-02
RQ Reference: 2.5954008102416992e-02
RQ New: 2.5918006896972656e-02
LQ AOCL: 2.7807950973510742e-02
LQ Reference: 1.4627933502197266e-02
LQ New: 1.4335155487060547e-02
Single Complex Precision
QR AOCL: 3.5006999969482422e-02
QR Reference: 3.4513950347900391e-02
QR New: 3.4468889236450195e-02
QL AOCL: 2.7981042861938477e-02
QL Reference: 2.7721881866455078e-02
QL New: 2.7764081954956055e-02
RQ AOCL: 3.0319929122924805e-02
RQ Reference: 3.0336856842041016e-02
RQ New: 3.0225038528442383e-02
LQ AOCL: 3.2978057861328125e-02
LQ Reference: 3.3054828643798828e-02
LQ New: 3.3001184463500977e-02
Double Complex Precision
QR AOCL: 7.5615882873535156e-02
QR Reference: 7.4951171875000000e-02
QR New: 7.4424982070922852e-02
QL AOCL: 7.9046964645385742e-02
QL Reference: 7.9883098602294922e-02
QL New: 7.9616069793701172e-02
RQ AOCL: 8.5881948471069336e-02
RQ Reference: 8.5798978805541992e-02
RQ New: 8.5321187973022461e-02
LQ AOCL: 8.2376003265380859e-02
LQ Reference: 8.2826852798461914e-02
LQ New: 8.2513093948364258e-02
Single Precision
QR AOCL: 1.5420913696289062e-02
QR Reference: 1.4753103256225586e-02
QR New: 1.4723062515258789e-02
QL AOCL: 1.5213966369628906e-02
QL Reference: 1.5007019042968750e-02
QL New: 1.5031099319458008e-02
RQ AOCL: 1.6278982162475586e-02
RQ Reference: 1.6041994094848633e-02
RQ New: 1.6077995300292969e-02
LQ AOCL: 1.5138864517211914e-02
LQ Reference: 9.9830627441406250e-03
LQ New: 9.6590518951416016e-03
Double Precision
QR AOCL: 2.8836011886596680e-02
QR Reference: 2.8023958206176758e-02
QR New: 2.8019189834594727e-02
QL AOCL: 2.5027036666870117e-02
QL Reference: 2.4865150451660156e-02
QL New: 9.1450214385986328e-03
RQ AOCL: 2.6139020919799805e-02
RQ Reference: 2.5926828384399414e-02
RQ New: 2.5894165039062500e-02
LQ AOCL: 2.7858972549438477e-02
LQ Reference: 1.4564990997314453e-02
LQ New: 1.4364957809448242e-02
Single Complex Precision
QR AOCL: 3.5107851028442383e-02
QR Reference: 3.4527063369750977e-02
QR New: 3.4561872482299805e-02
QL AOCL: 2.8006076812744141e-02
QL Reference: 2.7753114700317383e-02
QL New: 2.7787923812866211e-02
RQ AOCL: 3.0299901962280273e-02
RQ Reference: 3.0287027359008789e-02
RQ New: 3.0285120010375977e-02
LQ AOCL: 3.3188819885253906e-02
LQ Reference: 3.3189058303833008e-02
LQ New: 3.3190965652465820e-02
Double Complex Precision
QR AOCL: 7.2166204452514648e-02
QR Reference: 7.1789979934692383e-02
QR New: 7.1460008621215820e-02
QL AOCL: 8.0425024032592773e-02
QL Reference: 1.2208199501037598e-01
QL New: 8.2459926605224609e-02
RQ AOCL: 8.6695909500122070e-02
RQ Reference: 8.6014032363891602e-02
RQ New: 8.5898876190185547e-02
LQ AOCL: 7.9523801803588867e-02
LQ Reference: 7.8942060470581055e-02
LQ New: 7.8133106231689453e-02
Single Precision
QR AOCL: 1.5503883361816406e-02
QR Reference: 1.4685153961181641e-02
QR New: 1.4685869216918945e-02
QL AOCL: 1.5133142471313477e-02
QL Reference: 1.4962911605834961e-02
QL New: 1.4973163604736328e-02
RQ AOCL: 1.6270160675048828e-02
RQ Reference: 1.6036987304687500e-02
RQ New: 1.6042947769165039e-02
LQ AOCL: 1.4971017837524414e-02
LQ Reference: 9.9949836730957031e-03
LQ New: 9.6478462219238281e-03
Double Precision
QR AOCL: 2.8553962707519531e-02
QR Reference: 2.7934074401855469e-02
QR New: 2.7931928634643555e-02
QL AOCL: 2.5166988372802734e-02
QL Reference: 2.4815082550048828e-02
QL New: 9.0780258178710938e-03
RQ AOCL: 2.6034116744995117e-02
RQ Reference: 2.5914907455444336e-02
RQ New: 2.5883913040161133e-02
LQ AOCL: 2.7829170227050781e-02
LQ Reference: 1.4446973800659180e-02
LQ New: 1.4265060424804688e-02
Single Complex Precision
QR AOCL: 3.5053968429565430e-02
QR Reference: 3.4466028213500977e-02
QR New: 3.4451961517333984e-02
QL AOCL: 2.7814865112304688e-02
QL Reference: 2.7729988098144531e-02
QL New: 2.7734041213989258e-02
RQ AOCL: 3.0313968658447266e-02
RQ Reference: 3.0200958251953125e-02
RQ New: 3.0315160751342773e-02
LQ AOCL: 3.3078193664550781e-02
LQ Reference: 3.2983064651489258e-02
LQ New: 3.2987117767333984e-02
Double Complex Precision
QR AOCL: 7.6960086822509766e-02
QR Reference: 7.5744867324829102e-02
QR New: 7.5808048248291016e-02
QL AOCL: 8.4033012390136719e-02
QL Reference: 8.3632946014404297e-02
QL New: 8.3792924880981445e-02
RQ AOCL: 9.0754985809326172e-02
RQ Reference: 9.0525150299072266e-02
RQ New: 9.0384006500244141e-02
LQ AOCL: 8.4914207458496094e-02
LQ Reference: 1.1312198638916016e-01
LQ New: 1.2783908843994141e-01
Single Precision
QR AOCL: 1.5151977539062500e-02
QR Reference: 1.4626026153564453e-02
QR New: 1.4621019363403320e-02
QL AOCL: 1.5149116516113281e-02
QL Reference: 1.4883041381835938e-02
QL New: 1.4894008636474609e-02
RQ AOCL: 1.6209840774536133e-02
RQ Reference: 1.5999078750610352e-02
RQ New: 1.6016006469726562e-02
LQ AOCL: 1.5178203582763672e-02
LQ Reference: 9.9678039550781250e-03
LQ New: 9.6290111541748047e-03
Double Precision
QR AOCL: 2.8740882873535156e-02
QR Reference: 2.7925014495849609e-02
QR New: 2.7930974960327148e-02
QL AOCL: 2.4979829788208008e-02
QL Reference: 2.4783134460449219e-02
QL New: 9.0589523315429688e-03
RQ AOCL: 2.6057958602905273e-02
RQ Reference: 2.5938034057617188e-02
RQ New: 2.5991916656494141e-02
LQ AOCL: 2.7795076370239258e-02
LQ Reference: 1.4543056488037109e-02
LQ New: 1.4393806457519531e-02
Single Complex Precision
QR AOCL: 3.4893989562988281e-02
QR Reference: 3.4430980682373047e-02
QR New: 3.4384012222290039e-02
QL AOCL: 2.7823925018310547e-02
QL Reference: 2.7704954147338867e-02
QL New: 2.7676105499267578e-02
RQ AOCL: 3.0236005783081055e-02
RQ Reference: 3.0266046524047852e-02
RQ New: 3.0176877975463867e-02
LQ AOCL: 3.3373117446899414e-02
LQ Reference: 3.3568143844604492e-02
LQ New: 3.3398866653442383e-02
Double Complex Precision
QR AOCL: 1.0462093353271484e-01
QR Reference: 7.5130939483642578e-02
QR New: 7.7165842056274414e-02
QL AOCL: 8.5394144058227539e-02
QL Reference: 8.5196971893310547e-02
QL New: 8.4661006927490234e-02
RQ AOCL: 9.2535972595214844e-02
RQ Reference: 9.1573953628540039e-02
RQ New: 9.1884136199951172e-02
LQ AOCL: 8.3959102630615234e-02
LQ Reference: 8.2751989364624023e-02
LQ New: 8.2197904586791992e-02
Single Precision
QR AOCL: 1.5229940414428711e-02
QR Reference: 1.4662981033325195e-02
QR New: 1.4672040939331055e-02
QL AOCL: 1.5106916427612305e-02
QL Reference: 1.4925956726074219e-02
QL New: 1.4940023422241211e-02
RQ AOCL: 1.6170978546142578e-02
RQ Reference: 1.5911102294921875e-02
RQ New: 1.5894889831542969e-02
LQ AOCL: 1.5013933181762695e-02
LQ Reference: 9.9070072174072266e-03
LQ New: 9.5629692077636719e-03
Double Precision
QR AOCL: 2.8886079788208008e-02
QR Reference: 2.8002977371215820e-02
QR New: 2.7991056442260742e-02
QL AOCL: 2.4986028671264648e-02
QL Reference: 2.4817943572998047e-02
QL New: 9.2079639434814453e-03
RQ AOCL: 2.6113986968994141e-02
RQ Reference: 2.6445150375366211e-02
RQ New: 2.6185989379882812e-02
LQ AOCL: 2.7838945388793945e-02
LQ Reference: 1.4611005783081055e-02
LQ New: 1.4429092407226562e-02
Single Complex Precision
QR AOCL: 3.5006999969482422e-02
QR Reference: 3.4482955932617188e-02
QR New: 3.4442901611328125e-02
QL AOCL: 2.7872085571289062e-02
QL Reference: 2.7734041213989258e-02
QL New: 2.7724981307983398e-02
RQ AOCL: 3.0321836471557617e-02
RQ Reference: 3.0179977416992188e-02
RQ New: 3.0287981033325195e-02
LQ AOCL: 3.3042907714843750e-02
LQ Reference: 3.2983064651489258e-02
LQ New: 3.2978057861328125e-02
Double Complex Precision
QR AOCL: 8.1056833267211914e-02
QR Reference: 7.9278945922851562e-02
QR New: 7.9526901245117188e-02
QL AOCL: 8.8232994079589844e-02
QL Reference: 8.8254928588867188e-02
QL New: 8.8253974914550781e-02
RQ AOCL: 1.2146592140197754e-01
RQ Reference: 1.3793802261352539e-01
RQ New: 1.0280609130859375e-01
LQ AOCL: 9.5739126205444336e-02
LQ Reference: 9.1541051864624023e-02
LQ New: 8.6668014526367188e-02
Single Precision
QR AOCL: 1.5280008316040039e-02
QR Reference: 1.4690876007080078e-02
QR New: 1.4667034149169922e-02
QL AOCL: 1.5342950820922852e-02
QL Reference: 1.4960050582885742e-02
QL New: 1.4970064163208008e-02
RQ AOCL: 1.6217947006225586e-02
RQ Reference: 1.6031980514526367e-02
RQ New: 1.5936136245727539e-02
LQ AOCL: 1.4971971511840820e-02
LQ Reference: 9.9790096282958984e-03
LQ New: 9.6359252929687500e-03
Double Precision
QR AOCL: 2.8821945190429688e-02
QR Reference: 2.7938842773437500e-02
QR New: 2.7939081192016602e-02
QL AOCL: 2.4981975555419922e-02
QL Reference: 2.4794101715087891e-02
QL New: 9.0510845184326172e-03
RQ AOCL: 2.6049852371215820e-02
RQ Reference: 2.5851011276245117e-02
RQ New: 2.5861978530883789e-02
LQ AOCL: 2.7757883071899414e-02
LQ Reference: 1.4448165893554688e-02
LQ New: 1.4287948608398438e-02
Single Complex Precision
QR AOCL: 3.5010099411010742e-02
QR Reference: 3.4428119659423828e-02
QR New: 3.4466028213500977e-02
QL AOCL: 2.7828931808471680e-02
QL Reference: 2.7723073959350586e-02
QL New: 2.7728080749511719e-02
RQ AOCL: 3.0372142791748047e-02
RQ Reference: 3.0519008636474609e-02
RQ New: 3.0889034271240234e-02
LQ AOCL: 3.3537864685058594e-02
LQ Reference: 3.3072948455810547e-02
LQ New: 3.3053159713745117e-02
Double Complex Precision
QR AOCL: 7.5303077697753906e-02
QR Reference: 6.9639205932617188e-02
QR New: 6.9656848907470703e-02
QL AOCL: 7.6982021331787109e-02
QL Reference: 7.6598167419433594e-02
QL New: 7.6812028884887695e-02
RQ AOCL: 8.3279848098754883e-02
RQ Reference: 8.3125829696655273e-02
RQ New: 8.3080053329467773e-02
LQ AOCL: 7.7018022537231445e-02
LQ Reference: 7.7625989913940430e-02
LQ New: 1.1670613288879395e-01
m=1000 n=1000 k=200
Testing file ran 10 times
Single Precision
QR AOCL: 2.1584033966064453e-02
QR Reference: 2.1463871002197266e-02
QR New: 1.0900974273681641e-02
QL AOCL: 2.1973133087158203e-02
QL Reference: 2.1792888641357422e-02
QL New: 1.0826110839843750e-02
RQ AOCL: 2.3715019226074219e-02
RQ Reference: 2.4080038070678711e-02
RQ New: 1.1345863342285156e-02
LQ AOCL: 2.3005962371826172e-02
LQ Reference: 1.6083002090454102e-02
LQ New: 1.1208057403564453e-02
Double Precision
QR AOCL: 4.0745973587036133e-02
QR Reference: 4.0177106857299805e-02
QR New: 1.8665075302124023e-02
QL AOCL: 4.1746139526367188e-02
QL Reference: 4.1857957839965820e-02
QL New: 1.8493890762329102e-02
RQ AOCL: 4.3679952621459961e-02
RQ Reference: 4.3977022171020508e-02
RQ New: 1.9942998886108398e-02
LQ AOCL: 4.2383909225463867e-02
LQ Reference: 2.5778770446777344e-02
LQ New: 2.0015001296997070e-02
Single Complex Precision
QR AOCL: 7.2934150695800781e-02
QR Reference: 7.2080850601196289e-02
QR New: 3.5157203674316406e-02
QL AOCL: 7.4837923049926758e-02
QL Reference: 7.5070142745971680e-02
QL New: 3.5139083862304688e-02
RQ AOCL: 6.3058137893676758e-02
RQ Reference: 6.3250064849853516e-02
RQ New: 3.5599946975708008e-02
LQ AOCL: 6.0156822204589844e-02
LQ Reference: 6.0333013534545898e-02
LQ New: 3.5646200180053711e-02
Double Complex Precision
QR AOCL: 1.7045497894287109e-01
QR Reference: 1.2852621078491211e-01
QR New: 6.3490867614746094e-02
QL AOCL: 1.4600610733032227e-01
QL Reference: 1.3403892517089844e-01
QL New: 6.3345909118652344e-02
RQ AOCL: 1.5273308753967285e-01
RQ Reference: 1.5213894844055176e-01
RQ New: 7.3503017425537109e-02
LQ AOCL: 1.4645886421203613e-01
LQ Reference: 1.4666986465454102e-01
LQ New: 7.2545051574707031e-02
Single Precision
QR AOCL: 2.1878004074096680e-02
QR Reference: 2.1507978439331055e-02
QR New: 1.0905981063842773e-02
QL AOCL: 2.1682977676391602e-02
QL Reference: 2.1867990493774414e-02
QL New: 1.0836839675903320e-02
RQ AOCL: 2.3790836334228516e-02
RQ Reference: 2.3854017257690430e-02
RQ New: 1.1275053024291992e-02
LQ AOCL: 2.2758960723876953e-02
LQ Reference: 1.5889883041381836e-02
LQ New: 1.1194944381713867e-02
Double Precision
QR AOCL: 4.0939092636108398e-02
QR Reference: 4.0309906005859375e-02
QR New: 1.8280029296875000e-02
QL AOCL: 4.0953159332275391e-02
QL Reference: 4.1254997253417969e-02
QL New: 1.8193006515502930e-02
RQ AOCL: 4.3937921524047852e-02
RQ Reference: 4.4238090515136719e-02
RQ New: 2.0083904266357422e-02
LQ AOCL: 4.2336225509643555e-02
LQ Reference: 2.5820970535278320e-02
LQ New: 2.0055055618286133e-02
Single Complex Precision
QR AOCL: 7.3122978210449219e-02
QR Reference: 7.1928977966308594e-02
QR New: 3.4976005554199219e-02
QL AOCL: 7.4702024459838867e-02
QL Reference: 7.5031995773315430e-02
QL New: 3.5065889358520508e-02
RQ AOCL: 6.3148021697998047e-02
RQ Reference: 7.2691917419433594e-02
RQ New: 3.9468050003051758e-02
LQ AOCL: 6.0745000839233398e-02
LQ Reference: 6.0384988784790039e-02
LQ New: 3.5551071166992188e-02
Double Complex Precision
QR AOCL: 1.2558794021606445e-01
QR Reference: 1.2505006790161133e-01
QR New: 6.3261032104492188e-02
QL AOCL: 1.3109493255615234e-01
QL Reference: 1.3047003746032715e-01
QL New: 6.2846899032592773e-02
RQ AOCL: 1.4500689506530762e-01
RQ Reference: 1.5885996818542480e-01
RQ New: 8.2960128784179688e-02
LQ AOCL: 1.5213513374328613e-01
LQ Reference: 1.4642286300659180e-01
LQ New: 8.9827060699462891e-02
Single Precision
QR AOCL: 2.1825075149536133e-02
QR Reference: 2.1425962448120117e-02
QR New: 1.0850906372070312e-02
QL AOCL: 2.1751880645751953e-02
QL Reference: 2.1684169769287109e-02
QL New: 1.0818958282470703e-02
RQ AOCL: 2.3737907409667969e-02
RQ Reference: 2.3893833160400391e-02
RQ New: 1.1287927627563477e-02
LQ AOCL: 2.2800922393798828e-02
LQ Reference: 1.5882968902587891e-02
LQ New: 1.1206865310668945e-02
Double Precision
QR AOCL: 4.0909051895141602e-02
QR Reference: 4.0045976638793945e-02
QR New: 1.8290996551513672e-02
QL AOCL: 4.1064023971557617e-02
QL Reference: 4.1170120239257812e-02
QL New: 1.8102884292602539e-02
RQ AOCL: 4.3539047241210938e-02
RQ Reference: 4.3764114379882812e-02
RQ New: 1.9864082336425781e-02
LQ AOCL: 4.3820858001708984e-02
LQ Reference: 2.9164075851440430e-02
LQ New: 2.1919965744018555e-02
Single Complex Precision
QR AOCL: 8.1668853759765625e-02
QR Reference: 7.9627990722656250e-02
QR New: 4.0334939956665039e-02
QL AOCL: 7.7438116073608398e-02
QL Reference: 7.4800014495849609e-02
QL New: 3.5053968429565430e-02
RQ AOCL: 6.3423871994018555e-02
RQ Reference: 6.3673973083496094e-02
RQ New: 3.5480976104736328e-02
LQ AOCL: 6.0283899307250977e-02
LQ Reference: 6.0327053070068359e-02
LQ New: 3.5620927810668945e-02
Double Complex Precision
QR AOCL: 1.2477111816406250e-01
QR Reference: 1.2368607521057129e-01
QR New: 6.2842130661010742e-02
QL AOCL: 1.3150310516357422e-01
QL Reference: 1.3079500198364258e-01
QL New: 6.3138008117675781e-02
RQ AOCL: 1.4262604713439941e-01
RQ Reference: 1.4219188690185547e-01
RQ New: 7.2965145111083984e-02
LQ AOCL: 1.3538503646850586e-01
LQ Reference: 1.3430905342102051e-01
LQ New: 7.1924924850463867e-02
Single Precision
QR AOCL: 2.1900892257690430e-02
QR Reference: 2.1452903747558594e-02
QR New: 1.0886907577514648e-02
QL AOCL: 2.1705865859985352e-02
QL Reference: 2.1723985671997070e-02
QL New: 1.0853052139282227e-02
RQ AOCL: 2.3570060729980469e-02
RQ Reference: 2.3799896240234375e-02
RQ New: 1.1253118515014648e-02
LQ AOCL: 2.2634983062744141e-02
LQ Reference: 1.5908002853393555e-02
LQ New: 1.1183977127075195e-02
Double Precision
QR AOCL: 4.0393114089965820e-02
QR Reference: 4.0081024169921875e-02
QR New: 1.8270015716552734e-02
QL AOCL: 4.1098117828369141e-02
QL Reference: 4.1311025619506836e-02
QL New: 1.8173933029174805e-02
RQ AOCL: 4.4759035110473633e-02
RQ Reference: 4.4660091400146484e-02
RQ New: 2.2025108337402344e-02
LQ AOCL: 4.3552875518798828e-02
LQ Reference: 2.5961160659790039e-02
LQ New: 2.0069122314453125e-02
Single Complex Precision
QR AOCL: 7.2924852371215820e-02
QR Reference: 7.1939945220947266e-02
QR New: 3.4898996353149414e-02
QL AOCL: 7.4667930603027344e-02
QL Reference: 7.4904918670654297e-02
QL New: 3.4901142120361328e-02
RQ AOCL: 6.3550949096679688e-02
RQ Reference: 6.3176870346069336e-02
RQ New: 3.5447120666503906e-02
LQ AOCL: 5.9960842132568359e-02
LQ Reference: 6.0014963150024414e-02
LQ New: 3.5480022430419922e-02
Double Complex Precision
QR AOCL: 1.2519001960754395e-01
QR Reference: 1.2619018554687500e-01
QR New: 6.3281059265136719e-02
QL AOCL: 1.3393402099609375e-01
QL Reference: 1.3116288185119629e-01
QL New: 6.3413143157958984e-02
RQ AOCL: 1.4435696601867676e-01
RQ Reference: 1.4449882507324219e-01
RQ New: 7.1955919265747070e-02
LQ AOCL: 1.3840198516845703e-01
LQ Reference: 1.3832402229309082e-01
LQ New: 7.1974039077758789e-02
Single Precision
QR AOCL: 2.1878004074096680e-02
QR Reference: 2.1358013153076172e-02
QR New: 1.0885953903198242e-02
QL AOCL: 2.1811008453369141e-02
QL Reference: 2.1956920623779297e-02
QL New: 1.0819196701049805e-02
RQ AOCL: 2.3941993713378906e-02
RQ Reference: 2.3919105529785156e-02
RQ New: 1.1349201202392578e-02
LQ AOCL: 2.2964000701904297e-02
LQ Reference: 1.6061067581176758e-02
LQ New: 1.1248826980590820e-02
Double Precision
QR AOCL: 4.0647983551025391e-02
QR Reference: 4.0115833282470703e-02
QR New: 1.8268108367919922e-02
QL AOCL: 4.1071176528930664e-02
QL Reference: 4.1079044342041016e-02
QL New: 1.8141984939575195e-02
RQ AOCL: 4.3474912643432617e-02
RQ Reference: 4.3853998184204102e-02
RQ New: 1.9921064376831055e-02
LQ AOCL: 4.2228937149047852e-02
LQ Reference: 2.5743007659912109e-02
LQ New: 2.0031929016113281e-02
Single Complex Precision
QR AOCL: 7.3104858398437500e-02
QR Reference: 7.2082042694091797e-02
QR New: 3.5060882568359375e-02
QL AOCL: 7.4944972991943359e-02
QL Reference: 7.5086832046508789e-02
QL New: 3.5002946853637695e-02
RQ AOCL: 6.3258171081542969e-02
RQ Reference: 6.3930988311767578e-02
