m=1000 n=1000 k=100
Testing file ran 10 times
Single Precision
QR AOCL: 1.5282869338989258e-02
QR Reference: 1.4724969863891602e-02
QR New: 1.4696121215820312e-02
QL AOCL: 1.5623092651367188e-02
QL Reference: 1.6138076782226562e-02
QL New: 1.5559911727905273e-02
RQ AOCL: 1.6386985778808594e-02
RQ Reference: 1.6160964965820312e-02
RQ New: 1.6020059585571289e-02
LQ AOCL: 1.5586853027343750e-02
LQ Reference: 1.0044097900390625e-02
LQ New: 9.7877979278564453e-03
Double Precision
QR AOCL: 2.8885126113891602e-02
QR Reference: 2.8038978576660156e-02
QR New: 2.7905941009521484e-02
QL AOCL: 2.4996995925903320e-02
QL Reference: 2.4775981903076172e-02
QL New: 9.0651512145996094e-03
RQ AOCL: 2.6046991348266602e-02
RQ Reference: 2.5797128677368164e-02
RQ New: 2.5794029235839844e-02
LQ AOCL: 2.7784109115600586e-02
LQ Reference: 1.4336824417114258e-02
LQ New: 1.4231204986572266e-02
Single Complex Precision
QR AOCL: 3.5034179687500000e-02
QR Reference: 3.4394979476928711e-02
QR New: 3.4400939941406250e-02
QL AOCL: 2.7888059616088867e-02
QL Reference: 2.7662038803100586e-02
QL New: 2.7647018432617188e-02
RQ AOCL: 3.0239105224609375e-02
RQ Reference: 3.0223131179809570e-02
RQ New: 3.0248165130615234e-02
LQ AOCL: 3.2930850982666016e-02
LQ Reference: 3.2873153686523438e-02
LQ New: 3.2871961593627930e-02
Double Complex Precision
QR AOCL: 8.5656166076660156e-02
QR Reference: 1.2597799301147461e-01
QR New: 1.1021494865417480e-01
QL AOCL: 1.0657906532287598e-01
QL Reference: 1.1067199707031250e-01
QL New: 1.0219383239746094e-01
RQ AOCL: 1.0931205749511719e-01
RQ Reference: 1.0887789726257324e-01
RQ New: 1.0838794708251953e-01
LQ AOCL: 8.8561058044433594e-02
LQ Reference: 8.8849067687988281e-02
LQ New: 8.7689161300659180e-02
Single Precision
QR AOCL: 1.5729188919067383e-02
QR Reference: 1.4902830123901367e-02
QR New: 1.4897108078002930e-02
