m=1000 n=1000 k=1000
Testing file ran 10 times
Single Precision
QL Reference: 4.0233850479125977e-02
QL New: 4.6498060226440430e-02
RQ AOCL: 4.6838998794555664e-02
RQ Reference: 4.7826051712036133e-02
RQ New: 5.1357030868530273e-02
LQ AOCL: 4.6128034591674805e-02
LQ Reference: 5.0333976745605469e-02
LQ New: 5.0752162933349609e-02
Single Complex Precision
QR AOCL: 8.1600904464721680e-02
QR Reference: 8.2306861877441406e-02
QR New: 8.7193965911865234e-02
QL AOCL: 8.3010911941528320e-02
QL Reference: 8.3757162094116211e-02
QL New: 8.7245225906372070e-02
RQ AOCL: 8.0587148666381836e-02
RQ Reference: 8.1897020339965820e-02
RQ New: 8.8994026184082031e-02
LQ AOCL: 8.0760955810546875e-02
LQ Reference: 8.1629991531372070e-02
LQ New: 8.8843822479248047e-02
Double Complex Precision
QR AOCL: 1.6644501686096191e-01
QR Reference: 1.6761708259582520e-01
QR New: 1.4483880996704102e-01
QL AOCL: 1.6803193092346191e-01
QL Reference: 1.6941714286804199e-01
QL New: 1.4552092552185059e-01
RQ AOCL: 1.7011690139770508e-01
RQ Reference: 1.7119383811950684e-01
RQ New: 1.6430783271789551e-01
LQ AOCL: 1.6849493980407715e-01
LQ Reference: 1.7206192016601562e-01
LQ New: 1.6369414329528809e-01
Single Precision
QR AOCL: 2.1420955657958984e-02
QR Reference: 2.2044897079467773e-02
QR New: 3.1357049942016602e-02
QL AOCL: 2.1460056304931641e-02
QL Reference: 2.2655010223388672e-02
QL New: 3.1371116638183594e-02
RQ AOCL: 2.6571989059448242e-02
RQ Reference: 2.7596950531005859e-02
RQ New: 3.2589912414550781e-02
LQ AOCL: 2.6465892791748047e-02
LQ Reference: 3.0766010284423828e-02
LQ New: 3.2446861267089844e-02
Double Precision
QR AOCL: 3.8909912109375000e-02
QR Reference: 3.9519071578979492e-02
QR New: 4.6650886535644531e-02
QL AOCL: 3.9165973663330078e-02
QL Reference: 4.0206909179687500e-02
QL New: 4.6610832214355469e-02
RQ AOCL: 4.6014070510864258e-02
RQ Reference: 4.6905994415283203e-02
RQ New: 5.0440073013305664e-02
LQ AOCL: 4.6241998672485352e-02
LQ Reference: 5.0318002700805664e-02
LQ New: 5.1114797592163086e-02
Single Complex Precision
QR AOCL: 8.1453084945678711e-02
QR Reference: 8.2978963851928711e-02
QR New: 8.7167024612426758e-02
QL AOCL: 8.2711935043334961e-02
QL Reference: 8.3913087844848633e-02
QL New: 8.7294101715087891e-02
RQ AOCL: 8.0533981323242188e-02
RQ Reference: 8.1866979598999023e-02
RQ New: 8.9026927947998047e-02
LQ AOCL: 8.0623865127563477e-02
LQ Reference: 8.1608057022094727e-02
LQ New: 8.8940143585205078e-02
Double Complex Precision
QR AOCL: 1.6638302803039551e-01
QR Reference: 1.6707396507263184e-01
QR New: 1.4484596252441406e-01
QL AOCL: 1.6765403747558594e-01
QL Reference: 1.6880607604980469e-01
QL New: 1.4591503143310547e-01
RQ AOCL: 1.6979789733886719e-01
RQ Reference: 1.7131185531616211e-01
RQ New: 1.6421699523925781e-01
LQ AOCL: 1.6850781440734863e-01
