m=1000 n=1000 k=1000
Testing file ran 10 times
Single Precision
QR AOCL: 2.0108699798583984e-01
QR Reference: 2.0188188552856445e-01
QR New: 1.9106602668762207e-01
QL AOCL: 2.0631885528564453e-01
QL Reference: 2.0544600486755371e-01
QL New: 1.9241809844970703e-01
RQ AOCL: 2.2168898582458496e-01
RQ Reference: 2.2280693054199219e-01
RQ New: 2.1545290946960449e-01
LQ AOCL: 2.2159409523010254e-01
LQ Reference: 2.2216010093688965e-01
LQ New: 2.1221208572387695e-01
Double Complex Precision
QR AOCL: 4.1600799560546875e-01
QR Reference: 4.1654300689697266e-01
QR New: 3.6639213562011719e-01
QL AOCL: 4.1895198822021484e-01
QL Reference: 4.2028689384460449e-01
QL New: 3.6497211456298828e-01
RQ AOCL: 4.6521210670471191e-01
RQ Reference: 4.6761298179626465e-01
RQ New: 4.2936611175537109e-01
LQ AOCL: 4.6042513847351074e-01
LQ Reference: 4.6238112449645996e-01
LQ New: 4.2448616027832031e-01
Single Precision
QR AOCL: 4.8386096954345703e-02
QR Reference: 4.8877000808715820e-02
QR New: 5.6498050689697266e-02
QL AOCL: 4.8321008682250977e-02
QL Reference: 4.9263954162597656e-02
QL New: 5.6721925735473633e-02
RQ AOCL: 7.0141792297363281e-02
RQ Reference: 7.1233987808227539e-02
RQ New: 6.1214923858642578e-02
LQ AOCL: 6.8291902542114258e-02
LQ Reference: 7.6126098632812500e-02
LQ New: 6.0241937637329102e-02
Double Precision
QR AOCL: 9.3182802200317383e-02
QR Reference: 9.3779802322387695e-02
QR New: 9.7924947738647461e-02
QL AOCL: 9.4037055969238281e-02
QL Reference: 9.9542140960693359e-02
QL New: 9.7738981246948242e-02
RQ AOCL: 1.2101793289184570e-01
RQ Reference: 1.2346887588500977e-01
RQ New: 1.1613297462463379e-01
LQ AOCL: 1.2088108062744141e-01
LQ Reference: 1.3200306892395020e-01
LQ New: 1.1487102508544922e-01
Single Complex Precision
QR AOCL: 2.0173788070678711e-01
QR Reference: 2.0371699333190918e-01
QR New: 1.9045805931091309e-01
QL AOCL: 2.0585799217224121e-01
QL Reference: 2.0661520957946777e-01
QL New: 1.9133305549621582e-01
RQ AOCL: 2.2206187248229980e-01
RQ Reference: 2.2333002090454102e-01
RQ New: 2.1392893791198730e-01
LQ AOCL: 2.2057008743286133e-01
LQ Reference: 2.2258305549621582e-01
LQ New: 2.1047496795654297e-01
Double Complex Precision
QR AOCL: 4.2204093933105469e-01
QR Reference: 4.1797709465026855e-01
QR New: 3.6515378952026367e-01
QL AOCL: 4.1987609863281250e-01
QL Reference: 4.2098283767700195e-01
QL New: 3.6529803276062012e-01
RQ AOCL: 4.6707987785339355e-01
RQ Reference: 4.6693110466003418e-01
RQ New: 4.3045711517333984e-01
LQ AOCL: 4.6409797668457031e-01
LQ Reference: 5.0071310997009277e-01
LQ New: 4.2639899253845215e-01
Single Precision
QR AOCL: 4.8331022262573242e-02
QR Reference: 4.8691034317016602e-02
QR New: 5.6555986404418945e-02
QL AOCL: 4.8454046249389648e-02
QL Reference: 4.9453020095825195e-02
QL New: 5.6712865829467773e-02
RQ AOCL: 6.7807912826538086e-02
RQ Reference: 7.1229934692382812e-02
RQ New: 6.3047885894775391e-02
LQ AOCL: 6.9062948226928711e-02
LQ Reference: 7.5139045715332031e-02
LQ New: 6.0819864273071289e-02
Double Precision
QR AOCL: 9.2606782913208008e-02
QR Reference: 9.3482017517089844e-02
QR New: 9.7665071487426758e-02
QL AOCL: 9.2924118041992188e-02
QL Reference: 9.3858957290649414e-02
QL New: 9.7558975219726562e-02
RQ AOCL: 1.2191700935363770e-01
RQ Reference: 1.2346315383911133e-01
RQ New: 1.1518287658691406e-01
LQ AOCL: 1.2135601043701172e-01
LQ Reference: 1.3132691383361816e-01
LQ New: 1.1388111114501953e-01
Single Complex Precision
QR AOCL: 2.0169496536254883e-01
QR Reference: 2.0256304740905762e-01
QR New: 1.9114398956298828e-01
QL AOCL: 2.0596909523010254e-01
QL Reference: 2.0611000061035156e-01
QL New: 1.9119715690612793e-01
RQ AOCL: 2.2153496742248535e-01
RQ Reference: 2.2277188301086426e-01
RQ New: 2.1390891075134277e-01
LQ AOCL: 2.1973991394042969e-01
LQ Reference: 2.2261118888854980e-01
LQ New: 2.1037483215332031e-01
Double Complex Precision
QR AOCL: 4.1617798805236816e-01
QR Reference: 4.1698884963989258e-01
QR New: 3.6423683166503906e-01
QL AOCL: 4.1883182525634766e-01
QL Reference: 4.1941308975219727e-01
QL New: 3.6374998092651367e-01
RQ AOCL: 4.6591615676879883e-01
RQ Reference: 4.6699690818786621e-01
RQ New: 4.2742204666137695e-01
LQ AOCL: 4.6147680282592773e-01
LQ Reference: 4.6488308906555176e-01
LQ New: 4.2575001716613770e-01
Single Precision
QR AOCL: 4.9428939819335938e-02
QR Reference: 4.9977064132690430e-02
QR New: 5.6755065917968750e-02
QL AOCL: 4.9593925476074219e-02
QL Reference: 5.0745964050292969e-02
QL New: 5.6872844696044922e-02
RQ AOCL: 6.9055080413818359e-02
RQ Reference: 6.9188117980957031e-02
RQ New: 6.1980962753295898e-02
LQ AOCL: 7.1226119995117188e-02
LQ Reference: 7.8157186508178711e-02
LQ New: 6.1659812927246094e-02
Double Precision
QR AOCL: 9.2267036437988281e-02
QR Reference: 9.3004941940307617e-02
QR New: 9.7719907760620117e-02
QL AOCL: 9.3042850494384766e-02
QL Reference: 9.4019174575805664e-02
QL New: 9.7636938095092773e-02
RQ AOCL: 1.2109112739562988e-01
RQ Reference: 1.2165403366088867e-01
RQ New: 1.1432194709777832e-01
LQ AOCL: 1.2145900726318359e-01
LQ Reference: 1.3160896301269531e-01
LQ New: 1.1387991905212402e-01
Single Complex Precision
QR AOCL: 2.0276284217834473e-01
QR Reference: 2.0360517501831055e-01
QR New: 1.9122290611267090e-01
QL AOCL: 2.0252013206481934e-01
QL Reference: 2.0447611808776855e-01
QL New: 1.9136095046997070e-01
RQ AOCL: 2.2152900695800781e-01
RQ Reference: 2.2202801704406738e-01
RQ New: 2.1231102943420410e-01
LQ AOCL: 2.2195196151733398e-01
LQ Reference: 2.2398185729980469e-01
LQ New: 2.1173191070556641e-01
Double Complex Precision
QR AOCL: 4.1670012474060059e-01
QR Reference: 4.1708087921142578e-01
QR New: 3.6248087882995605e-01
QL AOCL: 4.1909098625183105e-01
QL Reference: 4.2029285430908203e-01
QL New: 4.0727710723876953e-01
RQ AOCL: 4.6562290191650391e-01
RQ Reference: 4.6785807609558105e-01
RQ New: 4.3536496162414551e-01
LQ AOCL: 4.6066594123840332e-01
LQ Reference: 4.7627782821655273e-01
LQ New: 4.2542409896850586e-01
Single Precision
QR AOCL: 4.7935962677001953e-02
QR Reference: 4.8481941223144531e-02
QR New: 5.6675910949707031e-02
QL AOCL: 4.8356056213378906e-02
QL Reference: 4.9558877944946289e-02
QL New: 5.6524991989135742e-02
RQ AOCL: 6.9753885269165039e-02
RQ Reference: 7.0713043212890625e-02
RQ New: 6.2631130218505859e-02
LQ AOCL: 7.0084095001220703e-02
LQ Reference: 7.6896190643310547e-02
LQ New: 6.0791015625000000e-02
Double Precision
QR AOCL: 9.2345952987670898e-02
QR Reference: 9.3128919601440430e-02
QR New: 9.7621917724609375e-02
QL AOCL: 9.3064069747924805e-02
QL Reference: 9.4077110290527344e-02
QL New: 9.7512006759643555e-02
RQ AOCL: 1.2119817733764648e-01
RQ Reference: 1.2239289283752441e-01
RQ New: 1.1450695991516113e-01
LQ AOCL: 1.2088012695312500e-01
LQ Reference: 1.3128995895385742e-01
LQ New: 1.1339688301086426e-01
Single Complex Precision
QR AOCL: 2.0165681838989258e-01
QR Reference: 2.0359802246093750e-01
QR New: 1.9150614738464355e-01
QL AOCL: 2.0507407188415527e-01
QL Reference: 2.0712590217590332e-01
QL New: 1.9081401824951172e-01
RQ AOCL: 2.2023582458496094e-01
RQ Reference: 2.2217893600463867e-01
RQ New: 2.1197199821472168e-01
LQ AOCL: 2.2110509872436523e-01
LQ Reference: 2.2377109527587891e-01
LQ New: 2.1221995353698730e-01
Double Complex Precision
QR AOCL: 4.1578006744384766e-01
QR Reference: 4.1694593429565430e-01
QR New: 3.6498308181762695e-01
QL AOCL: 4.1891098022460938e-01
QL Reference: 4.2006993293762207e-01
QL New: 3.6511516571044922e-01
RQ AOCL: 4.6419191360473633e-01
RQ Reference: 4.6720600128173828e-01
RQ New: 4.2605304718017578e-01
LQ AOCL: 4.6023201942443848e-01
LQ Reference: 4.6476197242736816e-01
LQ New: 4.2601799964904785e-01
Single Precision
QR AOCL: 5.1122903823852539e-02
QR Reference: 5.0116062164306641e-02
QR New: 5.6692123413085938e-02
QL AOCL: 4.9865007400512695e-02
QL Reference: 5.1100015640258789e-02
QL New: 5.6861877441406250e-02
RQ AOCL: 7.1468114852905273e-02
RQ Reference: 7.2775840759277344e-02
RQ New: 6.4171075820922852e-02
LQ AOCL: 7.0717811584472656e-02
LQ Reference: 7.9521894454956055e-02
LQ New: 6.3335895538330078e-02
Double Precision
QR AOCL: 9.2807054519653320e-02
QR Reference: 9.3544006347656250e-02
QR New: 9.7748994827270508e-02
QL AOCL: 9.3766927719116211e-02
QL Reference: 9.4720125198364258e-02
QL New: 9.7692966461181641e-02
RQ AOCL: 1.2204194068908691e-01
RQ Reference: 1.2258195877075195e-01
RQ New: 1.1499786376953125e-01
LQ AOCL: 1.2180995941162109e-01
LQ Reference: 1.3191199302673340e-01
LQ New: 1.1456489562988281e-01
Single Complex Precision
QR AOCL: 2.0065689086914062e-01
QR Reference: 2.0082998275756836e-01
QR New: 1.9085788726806641e-01
QL AOCL: 2.0513296127319336e-01
QL Reference: 2.0775604248046875e-01
QL New: 1.9169592857360840e-01
RQ AOCL: 2.2346282005310059e-01
RQ Reference: 2.2363710403442383e-01
RQ New: 2.1317100524902344e-01
LQ AOCL: 2.2042894363403320e-01
LQ Reference: 2.2360086441040039e-01
LQ New: 2.1083593368530273e-01
Double Complex Precision
QR AOCL: 4.3687582015991211e-01
QR Reference: 4.1701388359069824e-01
QR New: 3.6610221862792969e-01
QL AOCL: 4.1928291320800781e-01
QL Reference: 4.1996002197265625e-01
QL New: 3.6373496055603027e-01
RQ AOCL: 4.6358108520507812e-01
RQ Reference: 4.6715617179870605e-01
RQ New: 4.2792201042175293e-01
LQ AOCL: 4.6164608001708984e-01
LQ Reference: 4.6403908729553223e-01
LQ New: 4.2606806755065918e-01
m=3000 n=1000 k=1000
Testing file ran 10 times
Single Precision
QR AOCL: 7.4451208114624023e-02
QR Reference: 7.5002908706665039e-02
QR New: 8.1258058547973633e-02
QL AOCL: 7.4892044067382812e-02
QL Reference: 7.5899124145507812e-02
QL New: 8.7159872055053711e-02
RQ AOCL: 1.0905599594116211e-01
RQ Reference: 1.0983490943908691e-01
RQ New: 8.9859008789062500e-02
LQ AOCL: 1.0950708389282227e-01
LQ Reference: 1.2466001510620117e-01
LQ New: 9.1700077056884766e-02
Double Precision
QR AOCL: 1.6119599342346191e-01
QR Reference: 1.6021609306335449e-01
QR New: 1.6343784332275391e-01
QL AOCL: 1.6057395935058594e-01
QL Reference: 1.6144299507141113e-01
QL New: 1.6206288337707520e-01
RQ AOCL: 2.2025322914123535e-01
RQ Reference: 2.1931695938110352e-01
RQ New: 2.0629096031188965e-01
LQ AOCL: 2.1983695030212402e-01
LQ Reference: 2.3360204696655273e-01
LQ New: 2.0472311973571777e-01
Single Complex Precision
QR AOCL: 3.4113788604736328e-01
QR Reference: 3.3765888214111328e-01
QR New: 3.4419107437133789e-01
QL AOCL: 3.4151220321655273e-01
QL Reference: 3.4280586242675781e-01
QL New: 3.4319210052490234e-01
RQ AOCL: 4.2516207695007324e-01
RQ Reference: 4.2550706863403320e-01
RQ New: 3.9798593521118164e-01
LQ AOCL: 4.3322205543518066e-01
LQ Reference: 4.2552495002746582e-01
LQ New: 3.9893889427185059e-01
Double Complex Precision
QR AOCL: 6.5988397598266602e-01
QR Reference: 6.5999293327331543e-01
QR New: 5.8540511131286621e-01
QL AOCL: 6.6301298141479492e-01
QL Reference: 6.6440200805664062e-01
QL New: 5.8567810058593750e-01
RQ AOCL: 7.6490211486816406e-01
RQ Reference: 7.8630590438842773e-01
RQ New: 6.8782210350036621e-01
LQ AOCL: 7.5700116157531738e-01
LQ Reference: 7.5357294082641602e-01
LQ New: 6.8340492248535156e-01
Single Precision
QR AOCL: 7.4247837066650391e-02
QR Reference: 7.4820995330810547e-02
QR New: 8.1291913986206055e-02
QL AOCL: 7.4430942535400391e-02
QL Reference: 7.5537204742431641e-02
QL New: 8.1087827682495117e-02
RQ AOCL: 1.1266112327575684e-01
RQ Reference: 1.1336994171142578e-01
RQ New: 9.3013048171997070e-02
LQ AOCL: 1.1336112022399902e-01
LQ Reference: 1.2856793403625488e-01
LQ New: 9.2271089553833008e-02
Double Precision
QR AOCL: 1.5935015678405762e-01
QR Reference: 1.6073799133300781e-01
QR New: 1.6232800483703613e-01
QL AOCL: 1.6061520576477051e-01
QL Reference: 1.6103887557983398e-01
QL New: 1.6204094886779785e-01
RQ AOCL: 2.1717190742492676e-01
RQ Reference: 2.1967005729675293e-01
RQ New: 2.0462393760681152e-01
LQ AOCL: 2.1901297569274902e-01
LQ Reference: 2.3225617408752441e-01
LQ New: 2.0360708236694336e-01
Single Complex Precision
QR AOCL: 3.3338594436645508e-01
QR Reference: 3.3850097656250000e-01
QR New: 3.4266090393066406e-01
QL AOCL: 3.3681988716125488e-01
QL Reference: 3.3810114860534668e-01
QL New: 3.4449291229248047e-01
RQ AOCL: 4.2549490928649902e-01
RQ Reference: 4.2445087432861328e-01
RQ New: 3.9688396453857422e-01
LQ AOCL: 4.2380499839782715e-01
LQ Reference: 4.2380905151367188e-01
LQ New: 3.9490103721618652e-01
Double Complex Precision
QR AOCL: 6.8934392929077148e-01
QR Reference: 6.6071987152099609e-01
QR New: 5.8595800399780273e-01
QL AOCL: 6.6415500640869141e-01
QL Reference: 6.6428518295288086e-01
QL New: 5.8430981636047363e-01
RQ AOCL: 7.6092004776000977e-01
RQ Reference: 7.6399779319763184e-01
RQ New: 6.8861699104309082e-01
LQ AOCL: 7.5573706626892090e-01
LQ Reference: 7.6638698577880859e-01
LQ New: 6.8144702911376953e-01
Single Precision
QR AOCL: 7.4496030807495117e-02
QR Reference: 7.4936866760253906e-02
QR New: 8.1677913665771484e-02
QL AOCL: 7.4909210205078125e-02
QL Reference: 7.5847148895263672e-02
QL New: 8.1268072128295898e-02
RQ AOCL: 1.1276102066040039e-01
RQ Reference: 1.1529088020324707e-01
RQ New: 9.3563079833984375e-02
LQ AOCL: 1.1379098892211914e-01
LQ Reference: 1.2971186637878418e-01
LQ New: 9.1922998428344727e-02
Double Precision
QR AOCL: 1.5962409973144531e-01
QR Reference: 1.6003704071044922e-01
QR New: 1.6271710395812988e-01
QL AOCL: 1.5969800949096680e-01
QL Reference: 1.6082310676574707e-01
QL New: 1.6176199913024902e-01
RQ AOCL: 2.1731591224670410e-01
RQ Reference: 2.1959996223449707e-01
RQ New: 2.0387101173400879e-01
LQ AOCL: 2.1773815155029297e-01
LQ Reference: 2.3187303543090820e-01
LQ New: 2.0374107360839844e-01
Single Complex Precision
QR AOCL: 3.3713078498840332e-01
QR Reference: 3.3646607398986816e-01
QR New: 3.4239888191223145e-01
QL AOCL: 3.4002709388732910e-01
QL Reference: 3.3743500709533691e-01
QL New: 3.4665393829345703e-01
RQ AOCL: 4.3014001846313477e-01
RQ Reference: 4.2961788177490234e-01
RQ New: 4.0499305725097656e-01
LQ AOCL: 4.2757606506347656e-01
LQ Reference: 4.2814493179321289e-01
LQ New: 3.9743399620056152e-01
Double Complex Precision
QR AOCL: 6.6199803352355957e-01
QR Reference: 6.6295790672302246e-01
QR New: 5.8530902862548828e-01
QL AOCL: 6.6449618339538574e-01
QL Reference: 6.6609692573547363e-01
QL New: 5.8347511291503906e-01
RQ AOCL: 7.6468896865844727e-01
RQ Reference: 7.6120996475219727e-01
RQ New: 6.8746590614318848e-01
LQ AOCL: 7.5611686706542969e-01
LQ Reference: 7.5865983963012695e-01
LQ New: 6.8154311180114746e-01
Single Precision
QR AOCL: 7.5374841690063477e-02
QR Reference: 7.5966835021972656e-02
QR New: 8.1578969955444336e-02
QL AOCL: 7.6164007186889648e-02
QL Reference: 7.7114105224609375e-02
QL New: 8.1496000289916992e-02
RQ AOCL: 1.1518716812133789e-01
RQ Reference: 1.1677193641662598e-01
RQ New: 9.4603061676025391e-02
LQ AOCL: 1.1408805847167969e-01
LQ Reference: 1.3051605224609375e-01
LQ New: 9.2327117919921875e-02
Double Precision
QR AOCL: 1.5977501869201660e-01
QR Reference: 1.6031599044799805e-01
QR New: 1.6230702400207520e-01
QL AOCL: 1.6009712219238281e-01
QL Reference: 1.6143703460693359e-01
QL New: 1.6110086441040039e-01
RQ AOCL: 2.1870708465576172e-01
RQ Reference: 2.1950316429138184e-01
RQ New: 2.0631289482116699e-01
LQ AOCL: 2.1766591072082520e-01
LQ Reference: 2.3186612129211426e-01
LQ New: 2.0523786544799805e-01
Single Complex Precision
QR AOCL: 3.3277106285095215e-01
QR Reference: 3.3456015586853027e-01
QR New: 3.4094905853271484e-01
QL AOCL: 3.4269714355468750e-01
QL Reference: 3.4277892112731934e-01
QL New: 3.4224295616149902e-01
RQ AOCL: 4.2742991447448730e-01
RQ Reference: 4.2590785026550293e-01
RQ New: 4.0106201171875000e-01
LQ AOCL: 4.2223000526428223e-01
LQ Reference: 4.2482995986938477e-01
LQ New: 3.9831495285034180e-01
Double Complex Precision
QR AOCL: 6.6289901733398438e-01
QR Reference: 6.6321802139282227e-01
QR New: 5.8142805099487305e-01
QL AOCL: 6.6520810127258301e-01
QL Reference: 6.6702008247375488e-01
QL New: 5.8299088478088379e-01
RQ AOCL: 7.5980496406555176e-01
RQ Reference: 7.6070594787597656e-01
RQ New: 6.8647408485412598e-01
LQ AOCL: 7.5627613067626953e-01
LQ Reference: 7.5595307350158691e-01
LQ New: 6.8242812156677246e-01
Single Precision
QR AOCL: 7.4349164962768555e-02
QR Reference: 7.4965953826904297e-02
QR New: 8.1405878067016602e-02
QL AOCL: 7.4817180633544922e-02
QL Reference: 7.5870037078857422e-02
QL New: 8.1388950347900391e-02
RQ AOCL: 1.1420798301696777e-01
RQ Reference: 1.1405301094055176e-01
RQ New: 9.3098878860473633e-02
LQ AOCL: 1.1360502243041992e-01
LQ Reference: 1.2961387634277344e-01
LQ New: 9.3353986740112305e-02
Double Precision
QR AOCL: 1.5968894958496094e-01
QR Reference: 1.6053891181945801e-01
QR New: 1.6256117820739746e-01
QL AOCL: 1.5982604026794434e-01
QL Reference: 1.6055607795715332e-01
QL New: 1.6112804412841797e-01
RQ AOCL: 2.1916985511779785e-01
RQ Reference: 2.1983885765075684e-01
RQ New: 2.0563101768493652e-01
LQ AOCL: 2.1698594093322754e-01
LQ Reference: 2.3208212852478027e-01
LQ New: 2.0234680175781250e-01
Single Complex Precision
QR AOCL: 3.3313298225402832e-01
QR Reference: 3.3422994613647461e-01
QR New: 3.4257292747497559e-01
QL AOCL: 3.4322094917297363e-01
QL Reference: 3.4197402000427246e-01
QL New: 3.4351396560668945e-01
RQ AOCL: 4.2717504501342773e-01
RQ Reference: 4.2699408531188965e-01
RQ New: 4.0352511405944824e-01
LQ AOCL: 4.2366600036621094e-01
LQ Reference: 4.2794513702392578e-01
LQ New: 3.9810299873352051e-01
Double Complex Precision
QR AOCL: 6.6082000732421875e-01
QR Reference: 6.6183090209960938e-01
QR New: 5.8018779754638672e-01
QL AOCL: 6.6419005393981934e-01
QL Reference: 7.3137402534484863e-01
QL New: 5.8293008804321289e-01
RQ AOCL: 7.6133799552917480e-01
RQ Reference: 7.6885390281677246e-01
RQ New: 6.8775796890258789e-01
LQ AOCL: 7.6014995574951172e-01
LQ Reference: 7.6071190834045410e-01
LQ New: 6.8493580818176270e-01
Single Precision
QR AOCL: 7.4254035949707031e-02
QR Reference: 7.4850082397460938e-02
QR New: 8.1366062164306641e-02
QL AOCL: 7.4917078018188477e-02
QL Reference: 7.5867891311645508e-02
QL New: 8.1170082092285156e-02
RQ AOCL: 1.1475110054016113e-01
RQ Reference: 1.1278820037841797e-01
RQ New: 9.4030857086181641e-02
LQ AOCL: 1.1227202415466309e-01
LQ Reference: 1.2885808944702148e-01
LQ New: 9.0902090072631836e-02
Double Precision
QR AOCL: 1.5870904922485352e-01
QR Reference: 1.5996885299682617e-01
QR New: 1.6220903396606445e-01
QL AOCL: 1.6001605987548828e-01
QL Reference: 1.6134285926818848e-01
QL New: 1.6192007064819336e-01
RQ AOCL: 2.1830201148986816e-01
RQ Reference: 2.1971607208251953e-01
RQ New: 2.0530104637145996e-01
LQ AOCL: 2.1652793884277344e-01
LQ Reference: 2.3045396804809570e-01
LQ New: 2.0292496681213379e-01
Single Complex Precision
QR AOCL: 3.3399891853332520e-01
QR Reference: 3.3490705490112305e-01
QR New: 3.4452199935913086e-01
QL AOCL: 3.3676695823669434e-01
QL Reference: 3.4007692337036133e-01
QL New: 3.4294891357421875e-01
RQ AOCL: 4.3899416923522949e-01
RQ Reference: 4.2732191085815430e-01
RQ New: 3.9792203903198242e-01
LQ AOCL: 4.2700195312500000e-01
LQ Reference: 4.2519402503967285e-01
LQ New: 4.0009117126464844e-01
Double Complex Precision
QR AOCL: 6.6155791282653809e-01
QR Reference: 6.6195511817932129e-01
QR New: 5.8314800262451172e-01
QL AOCL: 6.6512799263000488e-01
QL Reference: 6.6416597366333008e-01
QL New: 6.0903191566467285e-01
RQ AOCL: 7.6488208770751953e-01
RQ Reference: 7.6484584808349609e-01
RQ New: 6.8727803230285645e-01
LQ AOCL: 7.5671792030334473e-01
LQ Reference: 7.6006197929382324e-01
LQ New: 6.8105101585388184e-01
Single Precision
QR AOCL: 7.4337959289550781e-02
QR Reference: 7.4815988540649414e-02
QR New: 8.1521034240722656e-02
QL AOCL: 7.4898958206176758e-02
QL Reference: 7.5945854187011719e-02
QL New: 8.1132888793945312e-02
RQ AOCL: 1.1188721656799316e-01
RQ Reference: 1.1467385292053223e-01
RQ New: 9.2828989028930664e-02
LQ AOCL: 1.1194205284118652e-01
LQ Reference: 1.2881088256835938e-01
LQ New: 9.1900110244750977e-02
Double Precision
QR AOCL: 1.6000890731811523e-01
QR Reference: 1.5886902809143066e-01
QR New: 1.6195106506347656e-01
QL AOCL: 1.5905904769897461e-01
QL Reference: 1.6087388992309570e-01
QL New: 1.7587399482727051e-01
RQ AOCL: 2.1733188629150391e-01
RQ Reference: 2.1888709068298340e-01
RQ New: 2.0431709289550781e-01
LQ AOCL: 2.1932005882263184e-01
LQ Reference: 2.3298788070678711e-01
LQ New: 2.0306992530822754e-01
Single Complex Precision
QR AOCL: 3.3432102203369141e-01
QR Reference: 3.3436489105224609e-01
QR New: 3.4320998191833496e-01
QL AOCL: 3.4287190437316895e-01
QL Reference: 3.4400010108947754e-01
QL New: 3.4581708908081055e-01
RQ AOCL: 4.3217992782592773e-01
RQ Reference: 4.3120193481445312e-01
RQ New: 4.0275597572326660e-01
LQ AOCL: 4.2704796791076660e-01
LQ Reference: 4.2749905586242676e-01
LQ New: 3.9952993392944336e-01
Double Complex Precision
QR AOCL: 6.9599699974060059e-01
QR Reference: 6.6137909889221191e-01
QR New: 5.8425521850585938e-01
QL AOCL: 6.6412496566772461e-01
QL Reference: 6.6526508331298828e-01
QL New: 5.8651399612426758e-01
RQ AOCL: 7.5936889648437500e-01
RQ Reference: 7.6055598258972168e-01
RQ New: 6.8534898757934570e-01
LQ AOCL: 7.5841212272644043e-01
LQ Reference: 7.5865197181701660e-01
LQ New: 6.9011497497558594e-01
Single Precision
QR AOCL: 7.4292898178100586e-02
QR Reference: 7.5012922286987305e-02
QR New: 8.1318140029907227e-02
QL AOCL: 7.4872970581054688e-02
QL Reference: 7.5817823410034180e-02
QL New: 8.1228971481323242e-02
RQ AOCL: 1.1312699317932129e-01
RQ Reference: 1.1379098892211914e-01
RQ New: 9.2492818832397461e-02
LQ AOCL: 1.1199998855590820e-01
LQ Reference: 1.2996292114257812e-01
LQ New: 9.2566967010498047e-02
Double Precision
QR AOCL: 1.5983486175537109e-01
QR Reference: 1.5916085243225098e-01
QR New: 1.6200089454650879e-01
QL AOCL: 1.5982699394226074e-01
QL Reference: 1.6097807884216309e-01
QL New: 1.6150212287902832e-01
RQ AOCL: 2.1601796150207520e-01
RQ Reference: 2.1818208694458008e-01
RQ New: 2.0685601234436035e-01
LQ AOCL: 2.1641016006469727e-01
LQ Reference: 2.3036289215087891e-01
LQ New: 2.0466804504394531e-01
Single Complex Precision
QR AOCL: 3.3534121513366699e-01
QR Reference: 3.3754205703735352e-01
QR New: 3.4399199485778809e-01
QL AOCL: 3.3654904365539551e-01
QL Reference: 3.3873105049133301e-01
QL New: 3.4273409843444824e-01
RQ AOCL: 4.2573904991149902e-01
RQ Reference: 4.2327904701232910e-01
RQ New: 4.0307092666625977e-01
LQ AOCL: 4.2615103721618652e-01
LQ Reference: 4.2650008201599121e-01
LQ New: 4.0074992179870605e-01
Double Complex Precision
QR AOCL: 6.6020298004150391e-01
QR Reference: 6.6171908378601074e-01
QR New: 5.7949399948120117e-01
QL AOCL: 6.7612695693969727e-01
QL Reference: 6.6498303413391113e-01
QL New: 5.8245086669921875e-01
RQ AOCL: 7.5938010215759277e-01
RQ Reference: 7.6490688323974609e-01
RQ New: 6.8228697776794434e-01
LQ AOCL: 7.5522494316101074e-01
LQ Reference: 7.6140618324279785e-01
LQ New: 6.7872500419616699e-01
Single Precision
QR AOCL: 7.4300050735473633e-02
QR Reference: 7.4827909469604492e-02
QR New: 8.1458806991577148e-02
QL AOCL: 7.4862003326416016e-02
QL Reference: 7.5945138931274414e-02
QL New: 8.1361055374145508e-02
RQ AOCL: 1.1324501037597656e-01
RQ Reference: 1.1548686027526855e-01
RQ New: 9.3813896179199219e-02
LQ AOCL: 1.1190891265869141e-01
LQ Reference: 1.2859487533569336e-01
LQ New: 9.2947959899902344e-02
Double Precision
QR AOCL: 1.6974878311157227e-01
QR Reference: 1.5946507453918457e-01
QR New: 1.6237998008728027e-01
QL AOCL: 1.5952992439270020e-01
QL Reference: 1.6021990776062012e-01
QL New: 1.6224098205566406e-01
RQ AOCL: 2.1952009201049805e-01
RQ Reference: 2.2171401977539062e-01
RQ New: 2.0434808731079102e-01
LQ AOCL: 2.1897006034851074e-01
LQ Reference: 2.3338699340820312e-01
LQ New: 2.0211696624755859e-01
Single Complex Precision
QR AOCL: 3.3664608001708984e-01
QR Reference: 3.3894705772399902e-01
QR New: 3.4535694122314453e-01
QL AOCL: 3.3794808387756348e-01
QL Reference: 3.5124421119689941e-01
QL New: 3.4606099128723145e-01
RQ AOCL: 4.2588400840759277e-01
RQ Reference: 4.2854785919189453e-01
RQ New: 3.9872002601623535e-01
LQ AOCL: 4.2518782615661621e-01
LQ Reference: 4.2741608619689941e-01
LQ New: 4.0044689178466797e-01
Double Complex Precision
QR AOCL: 6.6238498687744141e-01
QR Reference: 6.6294193267822266e-01
QR New: 5.8481597900390625e-01
QL AOCL: 6.6514778137207031e-01
QL Reference: 6.6606807708740234e-01
QL New: 5.8251309394836426e-01
RQ AOCL: 7.6427602767944336e-01
RQ Reference: 7.6411199569702148e-01
RQ New: 6.8565893173217773e-01
LQ AOCL: 7.6442003250122070e-01
LQ Reference: 7.5784492492675781e-01
LQ New: 6.7957901954650879e-01
Single Precision
QR AOCL: 7.5117826461791992e-02
QR Reference: 7.5659990310668945e-02
QR New: 8.1494808197021484e-02
QL AOCL: 7.4913024902343750e-02
QL Reference: 7.5992822647094727e-02
QL New: 8.1579923629760742e-02
RQ AOCL: 1.1366486549377441e-01
RQ Reference: 1.1644196510314941e-01
