m=1000 n=1000 k=100
QL AOCL: 1.5157938003540039e-02:2.3850420810242699e+01
QL Reference: 1.4962911605834961e-02:2.4161286888777706e+01
QL New: 1.4956951141357422e-02:2.4170915354557337e+01
RQ AOCL: 1.6071081161499023e-02:2.2495269382752532e+01
RQ Reference: 1.5974998474121094e-02:2.2630568671768849e+01
RQ New: 1.6021013259887695e-02:2.2565570238004671e+01
LQ AOCL: 1.5115976333618164e-02:2.3916635751537044e+01
LQ Reference: 1.0029077529907227e-02:3.6047512737030786e+01
LQ New: 9.5798969268798828e-03:3.7737702478365399e+01
Double Precision
QR AOCL: 2.8764009475708008e-02:1.2568595497971735e+01
QR Reference: 2.7932167053222656e-02:1.2942898390631296e+01
QR New: 2.7948856353759766e-02:1.2935169705123437e+01
QL AOCL: 2.4791955947875977e-02:1.4582278250255325e+01
QL Reference: 2.4792909622192383e-02:1.4581717334071874e+01
QL New: 2.4825096130371094e-02:1.4562811684652914e+01
RQ AOCL: 2.6028871536254883e-02:1.3889319000881171e+01
RQ Reference: 2.5812149047851562e-02:1.4005935706081431e+01
RQ New: 2.5842905044555664e-02:1.3989267049377727e+01
LQ AOCL: 2.7487993240356445e-02:1.3152044124822842e+01
LQ Reference: 1.4398097991943359e-02:2.5109101230057956e+01
LQ New: 1.4259099960327148e-02:2.5353865321504173e+01
Single Complex Precision
QR AOCL: 3.5183191299438477e-02:1.0275452187470268e+01
QR Reference: 3.4451007843017578e-02:1.0493835235455162e+01
QR New: 3.4475088119506836e-02:1.0486505465824798e+01
QL AOCL: 2.7893066406250000e-02:1.2961041813566739e+01
QL Reference: 2.7677059173583984e-02:1.3062197025074514e+01
QL New: 2.7662992477416992e-02:1.3068839182714369e+01
RQ AOCL: 3.0333042144775391e-02:1.1918464962218415e+01
RQ Reference: 3.0355930328369141e-02:1.1909478513400670e+01
RQ New: 3.0336141586303711e-02:1.1917247253461596e+01
LQ AOCL: 3.3107995986938477e-02:1.0919516244433083e+01
LQ Reference: 3.3030033111572266e-02:1.0945290268974578e+01
LQ New: 3.3046007156372070e-02:1.0939999446507702e+01
Double Complex Precision
QR AOCL: 7.8330993652343750e-02:4.6153276390766536e+00
QR Reference: 7.6623916625976562e-02:4.7181508844646904e+00
QR New: 7.6648950576782227e-02:4.7166099115453406e+00
QL AOCL: 8.2079172134399414e-02:4.4045668419758037e+00
QL Reference: 8.3884000778198242e-02:4.3097992065962742e+00
QL New: 1.2598609924316406e-01:2.8695483245514963e+00
RQ AOCL: 1.2971496582031250e-01:2.7870592858251970e+00
RQ Reference: 9.0204954147338867e-02:4.0077987225568066e+00
RQ New: 8.6811065673828125e-02:4.1644840688667220e+00
LQ AOCL: 8.6304187774658203e-02:4.1889427306116813e+00
LQ Reference: 8.3937883377075195e-02:4.3070337904033673e+00
LQ New: 8.6562871932983398e-02:4.1764245100357780e+00
Single Precision
QR AOCL: 1.5406131744384766e-02:2.3466189047212850e+01
QR Reference: 1.4814853668212891e-02:2.4402752001235960e+01
QR New: 1.4775037765502930e-02:2.4468512753591195e+01
QL AOCL: 1.5217065811157227e-02:2.3757747024720722e+01
QL Reference: 1.5026092529296875e-02:2.4059694780604215e+01
QL New: 1.5031814575195312e-02:2.4050536160588759e+01
RQ AOCL: 1.6322135925292969e-02:2.2149264143780311e+01
RQ Reference: 1.6041040420532227e-02:2.2537397233739096e+01
RQ New: 1.6093969345092773e-02:2.2463277532601513e+01
LQ AOCL: 1.5160083770751953e-02:2.3847051603862486e+01
LQ Reference: 1.0216951370239258e-02:3.5384655059930459e+01
LQ New: 9.8009109497070312e-03:3.6886703884479907e+01
Double Precision
QR AOCL: 2.8934955596923828e-02:1.2494340929226611e+01
QR Reference: 2.8193950653076172e-02:1.2822722308359971e+01
QR New: 2.8080940246582031e-02:1.2874326743528613e+01
QL AOCL: 2.5002002716064453e-02:1.4459769647481547e+01
QL Reference: 2.4896860122680664e-02:1.4520835085973665e+01
QL New: 2.5062799453735352e-02:1.4424693485153300e+01
RQ AOCL: 2.6513099670410156e-02:1.3635648207647208e+01
RQ Reference: 2.6175975799560547e-02:1.3811263532955643e+01
RQ New: 2.6129007339477539e-02:1.3836090108704022e+01
LQ AOCL: 2.7997970581054688e-02:1.2912482315580080e+01
LQ Reference: 1.5681982040405273e-02:2.3053418826046371e+01
LQ New: 1.6032934188842773e-02:2.2548792113896532e+01
Single Complex Precision
QR AOCL: 3.5479068756103516e-02:1.0189760122658424e+01
QR Reference: 3.4654140472412109e-02:1.0432323383920192e+01
QR New: 3.4610033035278320e-02:1.0445618460736403e+01
QL AOCL: 2.7958154678344727e-02:1.2930867725687971e+01
QL Reference: 2.7781009674072266e-02:1.3013321122644651e+01
QL New: 2.7974128723144531e-02:1.2923483822425254e+01
RQ AOCL: 3.1136035919189453e-02:1.1611089508577729e+01
RQ Reference: 3.0573844909667969e-02:1.1824593899397986e+01
RQ New: 3.0521154403686523e-02:1.1845007407594423e+01
LQ AOCL: 3.3463954925537109e-02:1.0803364420148478e+01
LQ Reference: 3.3118009567260742e-02:1.0916214613253471e+01
LQ New: 3.3234119415283203e-02:1.0878076698302653e+01
Double Complex Precision
QR AOCL: 1.2003707885742188e-01:3.0117627273270409e+00
QR Reference: 1.1286687850952148e-01:3.2030938108162688e+00
QR New: 1.1792707443237305e-01:3.0656505449672680e+00
QL AOCL: 1.1839890480041504e-01:3.0534336496559611e+00
QL Reference: 1.0282278060913086e-01:3.5159834995543395e+00
QL New: 1.0104799270629883e-01:3.5777375712032766e+00
RQ AOCL: 1.3544416427612305e-01:2.6691685236654497e+00
RQ Reference: 1.4569306373596191e-01:2.4814036490795819e+00
RQ New: 1.3874197006225586e-01:2.6057241355141376e+00
LQ AOCL: 1.3422608375549316e-01:2.6933908066523973e+00
LQ Reference: 1.4195704460144043e-01:2.5467091190508739e+00
LQ New: 1.4004516601562500e-01:2.5814764642405752e+00
Single Precision
QR AOCL: 1.5575885772705078e-02:2.3210442428483084e+01
QR Reference: 1.4836072921752930e-02:2.4367850030578367e+01
QR New: 1.4787912368774414e-02:2.4447210058086256e+01
QL AOCL: 1.5289068222045898e-02:2.3645862177441639e+01
QL Reference: 1.4991044998168945e-02:2.4115943888111712e+01
QL New: 1.4983177185058594e-02:2.4128607406479535e+01
RQ AOCL: 1.6151905059814453e-02:2.2382703381501489e+01
RQ Reference: 1.5978097915649414e-02:2.2626178779760359e+01
RQ New: 1.5963077545166016e-02:2.2647468758897155e+01
LQ AOCL: 1.5076160430908203e-02:2.3979799210601893e+01
LQ Reference: 1.0012865066528320e-02:3.6105879545758029e+01
LQ New: 9.5779895782470703e-03:3.7745217516321908e+01
Double Precision
QR AOCL: 2.9227018356323242e-02:1.2369486192278137e+01
QR Reference: 2.8177022933959961e-02:1.2830425728343332e+01
QR New: 2.8152942657470703e-02:1.2841400076665368e+01
QL AOCL: 2.4982929229736328e-02:1.4470809114316799e+01
QL Reference: 2.4899005889892578e-02:1.4519583697385908e+01
QL New: 2.4896860122680664e-02:1.4520835085973665e+01
RQ AOCL: 2.6190042495727539e-02:1.3803845490475107e+01
RQ Reference: 2.5985002517700195e-02:1.3912767557122278e+01
RQ New: 2.5979995727539062e-02:1.3915448785727920e+01
LQ AOCL: 2.7967929840087891e-02:1.2926351791751488e+01
LQ Reference: 1.4744997024536133e-02:2.4518370495322177e+01
LQ New: 1.4723062515258789e-02:2.4554898114799283e+01
Single Complex Precision
QR AOCL: 3.5290956497192383e-02:1.0244074853249201e+01
QR Reference: 3.4434080123901367e-02:1.0498993982100300e+01
QR New: 3.4575939178466797e-02:1.0455918438945815e+01
QL AOCL: 2.7830123901367188e-02:1.2990355389048043e+01
QL Reference: 2.7678966522216797e-02:1.3061296913301291e+01
QL New: 2.7687788009643555e-02:1.3057135509491866e+01
RQ AOCL: 3.0416965484619141e-02:1.1885580768496135e+01
RQ Reference: 3.0273914337158203e-02:1.1941742847447589e+01
RQ New: 3.0365943908691406e-02:1.1905551201934612e+01
LQ AOCL: 3.3074140548706055e-02:1.0930693708204119e+01
LQ Reference: 3.2985925674438477e-02:1.0959925865598867e+01
